"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Central Europe and the Baltics","CEB","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","1743635917.8","2124828192.7","2691395954.7","2286227986","2481745623.2","2976756251.6","3851628282.8","4564677627.3","5650229980.4","7056975229.5","8305074273.5","8618762657","10167405673.9","11136934634.6","15067444786.4","15757292217.3","18446260602.8","18434865982","26581795275.6","26609930527","24999393407.6","31091925238.5","37519535501.1","23301697517.9","27504276158.7","27549722813.3","31886365834.5","33344543655.3","39904389626.9","52102047006.4","62799034208.9","72246426556.2","77195293539.4","81601049291","126685482041.4","167750486716.1","206283211725.5","240938620316.8","275788460562.3","273275298164.6","336771729976.7","",
"Cote d'Ivoire","CIV","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","42593220.5","47665356.8","61010224.7","75605696.1","123866471.3","142262943.4","225092439.1","303694656.1","472764213.4","662166334.6","1407089819.6","1532770661.3","1539807674.9","1267481168.6","1138813915.3","1114214278","1320858222.5","1368252920.9","1074868570.9","1076042013.5","1261898083.4","1279557137.8","1159597610.3","1093853441.3","1244180890.4","1046130169.9","1374690277","1166663534.9","1383485237.1","1451114591.4","1022458712.8","619331606.3","830946007.9","570907057.8","391871484.4","307109438.6","270053013.4","431263472.7","1048013371.2","1133085395.5","751408112.1","730991382.3","721335887.7","1049782217.9","1009370882.5","809279473.8","1566964733.3","2248507535.8","1654523784","3002566073.1","2453462695","1735327200.5","",
"Cameroon","CMR","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","11341161.5","15401909.8","18556566.6","29962364.2","31600300.9","44939088.3","48143233.8","67688713.7","126047909.8","177905226.7","279585184.6","303571227.4","387174193.6","349544984.4","416223369","653809930.8","674044637","650278866.3","674330034.8","405600510.9","516351058.4","420216046.3","393533017.7","470595107.7","384460143.6","431192277.9","509201210.7","509600351","520923602.8","549536592.3","559663725.8","342613542.4","350007615.8","436590633","613689429.2","818876650","749188069.1","486125072.4","437898436","402293277.9","203133827.3","331808073.1","237979382.6","272988156.8","530678084.1","508961959.1","863896682.1","720802187.8","1056462168.7","1137311444.8","1202583295.3","1317968189.7","",
"Congo, Dem. Rep.","COD","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","34347450.9","37900324.2","61336160.5","97787924.8","187423536.9","152012632.5","115034634.8","123966453.5","155375239.3","220240303","542517684.5","401387567.4","222117040.5","247237551.4","414840483","498222213.4","455022415.3","470363613.1","391920365.2","609006380.6","348142201.4","177430038.8","77390180.6","27511576.8","15684988.3","24967300","48414485.6","12519556.7","19339789","25096074.5","29746098.2","20219751.1","928941221.6","148230002.6","133236373.4","217647070.9","289648504.1","500821216.9","592150074.6","624518907.4","274408365.1","255389492.1","279619543.1","399091000.9","410787291.8","396754431.1","483967534.8","395907838","376355010.1","1097084958.9","311714033","363130423.8","",
"Congo, Rep.","COG","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","8825881.4","8644367.2","7694184.7","12083585","18424565.1","29210978.1","23345598.9","37583731.6","20433591.9","75911959.1","108857225.2","241003424.1","240976589.8","332346163","361119984.1","422674681.2","362410523.6","452317680.2","434396710.5","351307883.3","519476213.7","321940127","185029933.1","158290974.1","556405141.8","186560766.7","364281439.3","135767652.3","45713270.6","26717618.4","45038941.1","93996817.4","29831155.5","64942363.2","212232017.1","112368096.1","87757996.9","108474129.7","167492239.6","178846780.2","120561067.3","131363309.5","170908515.5","437311400.8","487538145.5","415952279.7","361139488","414736134.7","476354414.3","547157601.7","721318437.4","463023415.8","",
"Colombia","COL","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","290331084.3","277725651.9","336658436.6","366558362.5","429115630.8","329649590.7","390278659.6","395852172","496080434.3","720430694.3","972551858.6","1144942397.4","1515102955.6","1622630266.3","1647143120.1","1987691476.7","2253726630.4","2817390039.4","3335604505.6","3934900254.3","3890820384.2","3777994797.3","4012168211.1","3722332787.7","5573986681.4","4369326698.9","5426949964.2","4539705265.5","4545362051.6","6639799903.4","5146393921.5","6337507195","6849662623","8629375266.5","7707481067.5","10265223138","9968042414.6","8596840047.3","7969258916","8828657174.9","9779814689.6","10253176811.3","15379756892.5","10075424039.5","15112409372.5","14236718301.3","15845034266.9","22372572296.4","24440094693.1","19227500424.3","21711888851.7","25361237494.9","",
